,title,label
0,"China pneumonia outbreak: It's not SARS, so what is it? - CNN",FAKE
1,New virus identified as likely cause of mystery illness in China,REAL
2,China pneumonia outbreak may be caused by Sars-type virus: WHO | Science | The Guardian,FAKE
3,"New SARS related virus, Wuhan pneumonia, idenitified in China's mysterious pneumonia outbreak - CNN",FAKE
4,China's Sars-like illness worries health experts | World news | The Guardian,FAKE
5,"Mystery virus found in Wuhan resembles bat viruses but not SARS, Chinese scientist says | Science | AAAS",REAL
6,Disease X: Mysterious outbreak in China could be new form of virus | Science | News | Express.co.uk,FAKE
7,Chinese researchers reveal draft genome of virus implicated in Wuhan pneumonia outbreak | Science | AAAS,REAL
8,"UPDATE 2-WHO says new China coronavirus could spread, warns hospitals worldwide",REAL
9,"Global health threat: Pandemic 'inevitable', says WHO 'When not if' | World | News | Express.co.uk",FAKE
10,"WHO says new China virus could spread, it's warning all hospitals",REAL
11,China coronavirus outbreak: First case reported outside China - Is it deadly? | World | News | Express.co.uk,FAKE
12,"China's new SARS-like coronavirus has spread to Japan, but we still know very little about it - CNN",FAKE
13,China news: Flu epidemic fears grow as deadly coronavirus spreads from China to Japan | World | News | Express.co.uk,FAKE
14,Coronavirus outbreak: US State Department issues travel alert as outbreak spreads | World | News | Express.co.uk,FAKE
15,"Coronavirus: Second death from SARS-like illness in Wuhan, China - CNN",FAKE
16,BRIEF-CDC Says Public Health Screening To Begin At 3 U.S. Airports For 2019 Novel Coronavirus,REAL
17,China virus: US begins screening travellers after second coronavirus death | World | News | Express.co.uk,FAKE
18,CDC and Homeland Security begins screening for Coronavirus at major US airports,REAL
19,"Coronavirus cases could be grossly underestimated, study says - CNN",FAKE
20,Major Asian markets mostly rise as China keeps its loan prime rate unchanged,REAL
21,Coronavirus: China reports 17 new cases of Sars-like mystery virus | World news | The Guardian,FAKE
22,Coronavirus: China confirms new cases as virus spreads to new cities,REAL
23,Coronavirus warning: Outbreak hits Shanghai as cases soar - tourism warning | World | News | Express.co.uk,FAKE
24,New virus surging in Asia rattles scientists,REAL
25,New China virus: Cases triple as infection spreads to Beijing and Shanghai - BBC News,FAKE
26,WHO Emergency Committee on coronavirus to meet on Wednesday - Reuters,REAL
27,"As virus spreads to more Chinese cities, WHO calls emergency meeting - Reuters",REAL
28,China confirms human-to-human transmission of coronavirus | World news | The Guardian,FAKE
29,Dog food alert: Food Standards Authority issues immediate recall after salmonella found | UK | News | Express.co.uk,FAKE
30,China coronavirus outbreak: China virus threatens a repeat of 2002 SARS pandemic | Science | News | Express.co.uk,FAKE
31,What is coronavirus? COVID-19 explained - CNN,FAKE
32,China confirms new coronavirus can spread between humans - CNN,FAKE
33,Wuhan pneumonia: New cases amid China travel season ahead of Lunar New Year,REAL
34,"China stocks end higher, tourism shares tumble as coronavirus spreads",REAL
35,Hong Kong stocks fall ahead of Chinese New Year on weak sentiment,REAL
36,China coronavirus latest: Human-to-human transmission confirmed,REAL
